entry_index,exit_index,side,entry_price,exit_price,pnl_usd,capital_after
119,144,long,86243.78,87783.34,0.8925629187403414,1000.8925629187404
145,160,short,87863.42,89675.85,-1.0323111186719232,999.8602518000685
163,189,long,86427.12,84483.79,-1.1241022627681154,998.7361495373003
190,199,long,84582.65,87139.95,1.5098060625977914,1000.2459555998981
200,207,long,87483.41,87997.14,0.29368788594907974,1000.5396434858473
208,273,short,88180.01,89170.1,-0.5617057060998937,999.9779377797473
989,1002,long,89432.33,87602.4,-1.0230582316715335,998.9548795480758
1005,1017,long,90355.56,89818.79,-0.2967216465124143,998.6581579015634
1018,1101,short,89920.16,86495.16,1.9019117575040208,1000.5600696590674
1110,1193,long,87737.06,84934.02,-1.5983040106752757,998.9617656483921
1195,1203,long,84261.66,82468.02,-1.0632224557038048,997.8985431926883
1204,1241,long,82164.88,81302.15,-0.5238959821815832,997.3746472105067
1242,1243,long,80365.04,78893.92,-0.9128706904173234,996.4617765200894
1244,1269,long,78038.38,77174.78,-0.5513597221026084,995.9104167979868
1270,1277,long,77103.04,76292.98,-0.5231617276253797,995.3872550703614
1278,1287,long,75894.15,78224.79,1.5283716545723134,996.9156267249338
1288,1314,long,77844.79,76488.08,-0.8687321270530609,996.0468945978807
1315,1316,long,74915.79,73139.13,-1.1810839048458677,994.8658106930349
1317,1337,long,74935.0,74136.36,-0.5301525529137818,994.335658140121
1338,1339,long,73636.01,72576.08,-0.715632334052627,993.6200258060684
1340,1344,long,73425.96,72543.38,-0.5971656089861961,993.0228601970822
1345,1347,long,73165.83,72421.26,-0.505273452796851,992.5175867442854
1348,1351,long,71454.44,70732.72,-0.5012423249731485,992.0163444193122
1352,1358,long,70951.51,69563.57,-0.9702817917993064,991.0460626275129
1359,1361,long,69688.94,67489.07,-1.5642170061650977,989.4818456213478
1362,1363,long,68295.15,66181.69,-1.5310240196023335,987.9508216017455
1364,1365,long,66347.0,65265.65,-0.8051009246379235,987.1457206771075
1366,1369,long,63775.67,62909.86,-0.6700679400306138,986.4756527370769
1370,1371,long,63509.39,65714.96,1.7129286751197907,988.1885814121966
1372,1373,long,64990.1,64168.33,-0.6247595638005616,987.5638218483961
1374,1383,long,64905.84,67316.82,1.8341929040592158,989.3980147524553
1384,1387,long,68194.89,70753.53,1.8560872643582398,991.2541020168136
1388,1400,long,69776.68,68769.65,-0.7152981614731388,990.5388038553405
1401,1426,long,68087.14,70665.59,1.875577957012734,992.4143818123532
1427,1452,long,70107.19,68727.88,-0.9762529927227112,991.4381288196305
1453,1493,long,68928.72,68187.99,-0.5327155104291512,990.9054133092013
1494,1496,long,67584.46,66820.32,-0.5601808925647201,990.3452324166366
1497,1506,long,67032.72,66039.09,-0.733997317493716,989.6112350991428
1507,1531,long,66518.26,65413.99,-0.821427077754986,988.7898080213879
1532,1552,long,65590.95,67733.51,1.61496478635719,990.4047728077451
1553,1593,long,68692.12,70828.42,1.5400614482048225,991.9448342559499
1594,1598,long,70446.52,69314.21,-0.7971927181614878,991.1476415377884
1599,1625,long,68930.0,67539.52,-0.9996887948683157,990.1479527429201
1626,1648,long,67888.7,66875.06,-0.7391904476137656,989.4087622953064
1649,1676,long,67392.05,66359.99,-0.7576036099321,988.6511586853743
1677,1715,long,66177.14,68218.85,1.5251028959543445,990.1762615813286
1716,1719,long,67948.99,66801.62,-0.8359936897153135,989.3402678916133
1720,1779,long,67069.65,64427.65,-1.9485989473402912,987.391668944273
1780,1804,long,64783.56,64109.81,-0.5134444116309785,986.878224532642
1805,1815,long,63595.51,62900.0,-0.5396479043447406,986.3385766282972
1816,1827,long,63453.99,65896.75,1.8985318507508682,988.2371084790481
1828,1831,long,65884.83,64882.76,-0.7515256237995904,987.4855828552485
1832,1840,long,64898.22,66973.2,1.578635619523139,989.0642184747716
1841,1866,long,67412.33,66643.55,-0.5639715982810813,988.5002468764905
1867,1885,long,66826.8,66126.99,-0.517578544660701,987.9826683318297
1886,1904,long,65928.01,63216.01,-2.0320717980991048,985.9505965337306
1905,1916,long,63826.0,65911.84,1.6110481561384964,987.5616446898691
1917,1942,long,66362.01,65300.0,-0.7902114042937238,986.7714332855754
1943,1961,long,65666.2,69130.2,2.6026907639708354,989.3741240495463
1962,1972,long,69428.62,68512.17,-0.652981375681386,988.7211426738648
