final_capital,return_pct,win_rate,max_drawdown,total_trades
1799.6181711535523,79.96181711535525,43.47826086956522,-10.760813627128847,276
1310.0918024615064,31.00918024615065,39.51048951048951,-14.983323082261588,286
1104.030060480588,10.403006048058794,37.64705882352941,-14.983323082261633,255
1104.0300604805884,10.403006048058838,37.64705882352941,-14.983323082261634,255
1324.456922130914,32.44569221309141,39.52702702702703,-14.98332308226164,296
891.0569475271312,-10.894305247286873,34.92647058823529,-28.8904685799174,272
1153.191953564247,15.319195356424697,38.0281690140845,-15.900823059557911,284
1260.9609050815625,26.096090508156223,39.58333333333333,-14.292147339730704,240
1200.836963333402,20.083696333340217,38.912133891213394,-11.714236232978722,239
1217.0191326882584,21.701913268825844,39.6039603960396,-14.292147339730658,202
1066.0228369150818,6.602283691508193,37.04918032786885,-15.673532375604244,305
995.6425948626344,-0.4357405137365711,36.11111111111111,-0.511498146876994,144
995.7161351751708,-0.428386482482912,34.959349593495936,-0.4326054044883565,123
998.544234947608,-0.1455765052391977,42.85714285714285,-0.361322027418774,126
998.8895254365588,-0.1110474563441155,41.98473282442748,-0.237687825532882,131
999.7788913873478,-0.0221108612652232,41.1214953271028,-0.2451794165168204,107
998.8105593423612,-0.1189440657638929,35.96491228070175,-0.3243706494607979,114
1001.3909447569636,0.1390944756963774,47.22222222222222,-0.3291422290061444,144
990.4694936516312,-0.953050634836894,26.82926829268293,-1.7008756084195356,82
998.744259063512,-0.1255740936487948,32.631578947368425,-1.208538499766999,95
988.7211426738648,-1.1278857326135205,26.666666666666668,-1.4928641633060944,60
